record_id,wearlog_place,wearlog_place_english
FUSPCEU_S003,NA,NA
FUSPCEU_S004,NA,NA
FUSPCEU_S005,NA,NA
FUSPCEU_S005,encima de la mesa,on the table
FUSPCEU_S005,encima de la mesita,on top of the small table
FUSPCEU_S006,NA,NA
FUSPCEU_S007,NA,NA
FUSPCEU_S009,NA,NA
FUSPCEU_S010,NA,NA
FUSPCEU_S011,NA,NA
FUSPCEU_S012,NA,NA
FUSPCEU_S013,NA,NA
FUSPCEU_S014,NA,NA
FUSPCEU_S015,NA,NA
FUSPCEU_S016,NA,NA
FUSPCEU_S016,encimera de la cocina,kitchen countertop
FUSPCEU_S016,mesilla de noche,nightstand
FUSPCEU_S017,NA,NA
FUSPCEU_S018,el la mesa,on the table
FUSPCEU_S018,NA,NA
FUSPCEU_S020,NA,NA
FUSPCEU_S021,NA,NA
FUSPCEU_S021,Mesilla de noche,Bedside table
FUSPCEU_S024,NA,NA
FUSPCEU_S025,NA,NA
FUSPCEU_S025,encima de la mesa,on top of the table
FUSPCEU_S025,encima de lamesa,on top of the table
FUSPCEU_S025,en la mesa,on the table
FUSPCEU_S025,encima del mueble de la televisión,on top of the TV cabinet
FUSPCEU_S025,metidas en el armario de la oficina,put in the office closet
