record_id,general_feeling_english,challenges_english,act_impact_english,beh_adapt_english,social_english,improvements_english,change_behavior_english,glasses_use,general_feeling,challenges,act_impact,beh_adapt,social,improvements,change_behavior
FUSPCEU_S003,Quite well.,None.,In enclosed places with unknown people,I acted as if I wasn't wearing the glasses.,"In the university cafeteria, people asked me if it was a camera.",It should be waterproof.,"Yes, it makes you more aware of not being exposed to light at night and of how poorly lit indoor spaces are.",FALSE,Bastante bien,Ninguno,En lugares cerrados con personas desconocidas.,Mostrarme como si no llevara las gafas.,En el comedor de la universidad me preguntaban si era una cámara.,Que sea impermeable al agua.,"Sí, te hace ser más consciente de no recibir luz por la noche y de lo pobremente iluminados que son los interiores."
FUSPCEU_S004,"Fine, although people sometimes made comments about them. although sometimes there were comments about them.",At the gym. I left them in the black bag and then put them back on again.,Sports.,In no way. I did not have to adapt.,"Yes, in class at university.",A less conspicuous device could be created for everyday use.,"Yes, I am more aware of my schedules.",TRUE,"Bien, aunque a veces se hacían comentarios sobre ellas.",En el gimnasio. las dejé en la bolsa negra y luego me las volví a poenr.,Deporte.,De ninguna manera. NO tuve que adaptarme.,"Sí, en clase en la universidad.",Podría crearse un utensilio menos vistoso para el día a día.,"Sí, soy más consciente de mis horarios."
FUSPCEU_S005,Strange,"A bit uncomfortable, but manageable.",When being at home doing domestic chores.,I did not adapt my behaviors.,The first day at work and at home.,Smaller camera.,"Yes, I have realized how much time we spend indoors.",FALSE,Rara,Algo incómodo pero se sobrelleva.,A la hora de estar en casa haciendo las tareas.,No adapté comportamientos.,El primer día en el trabajo y en casa.,Cámara más pequeña.,"Sí, me he dado cuenta del tiempo que pasamos en interiores."
FUSPCEU_S006,Strange,Cause discomfort in the area where they rest on the nose.,Almost from the beginning,With humor,In all situations,Lighter.,NO,FALSE,Rara,Molestias en la zona de apoyo de la nariz,Casi desde el principio,Con humor,En todos,Menos pesadas,NO
FUSPCEU_S007,Uncomfortable at first. Then I got used to them.,"They left marks on my nose, and sometimes my eyes felt tired. It went away with a massage.",At work in the store with customers.,I gave people the freedom to ask me questions.,Many; over the weekend with customers it happened very frequently.,"A smaller sensor integrated inside the frame, like the Meta glasses.",No change.,FALSE,Al principio incómoda. Luego me acostumbré.,La nariz se me marcaba y a veces la vista se me cansaba. Se me pasaba con un masaje.,En el trabajo en la tienda con los clientes.,Dar  al gente la libertad para que me preguntara.,"Muchas, el fin de semana con los clientes fue muy recurrente.",Un sensor más pequeño integrado dentro de la montura como el de las gafas Meta.,Ningún cambio
FUSPCEU_S008,A little uncomfortable. They were intrusive and with certain movements they would fall off.,"When brushing my teeth, the glasses would slip off and the collar risked getting wet. I had to remove everything",In crowded or social activities. When using the metro.,I would take less crowded routes. Take off the glasses. Avoid looking at people.,"Yes, with my flatmates.",Improve the design and aesthetics.,No.,FALSE,Un poco incómodo. Eran invasivas y con cierto tipo de acciones se caían.,"Al lavarme los dientes, las gafas se caían y el collar corría riesgo de mojarse. Me tenía que quitar todo.",En actividades masivas o sociales. Al usar el metro.,Irme por lugares no tan concurridos. Quitarme las gafas. no mirar a la gente.,"Sí, con mis compañeros de piso.",Mejorar el diseño y la estética.,No.
FUSPCEU_S009,"NORMAL, IT DID NOT CHANGE MY DAY-TO-DAY LIFE.",They slide down towards the tip of my nose.,IN INTERACTIONS WITH OTHER PEOPLE.,"MY BEHAVIOR WAS NORMAL, EXCEPT FOR EXPLAINING ABOUT THE GLASSES.","YES, THERE WERE SEVERAL.",They should fit the ear better to prevent them from slipping.,YES. TO BE MORE AWARE OF MY USUAL SLEEP HOURS.,TRUE,"NORMAL, NO CAMBIO MI DÍA A DÍA.",SE RESBALAN HACIA LA PUNTA DE LA NARIZ.,EN LA RELACIÓN CON OTRAS PERSONAS,"MI COMPORTAMIENTO FUE NORMAL, SALVO EXPLICAIONES DE LAS GAFAS","SÍ, HUBO VARIAS",QUE SE ADAPTARA A LA OREJA PARA EVITAR QUE RESBALE,SÍ. SER MÁS CONSCIENTE DE LAS HORAS DE SUEÑO HABITUALES.
FUSPCEU_S010,"Fine, it was even fun",a bit of pain from the right arm of the glasses,When getting up in the morning,I managed to wear them for the full agreed time,"Yes, especially during the weekend when meeting up with people/family.",No,No,FALSE,"Bien, fue incluso divertido",Un poco de dolor con la patilla derecha,Al levantarse por la mañana,Conseguí llevarlos todo el tiempo pactado,"Sí, durante el fin de semana sobre todo, al quedar con gente/familia",No,No
FUSPCEU_S011,Practically the same as without them.,Wearing them over prescription glasses.,Meetings with friends.,I did not adopt any behaviors.,Many moments.,I wouldn't know what.,No.,TRUE,PRACTICAMENTE IGUAL QUE SIN ELLAS,PONERLAS SOBRE GAFAS GRAADUADAS,REUNIONES CON AMIGOS,NO ADOPTÉ COMPORTAMIENTOS,MUCHOS MOMENTOS.,NO SABRÍA,NO
FUSPCEU_S012,I found them uncomfortable and very cumbersome.,I lifted them up several times without taking them off.,While showering.,Avoiding sudden movements.,DURING UNIVERSITY VISITS.,A smaller sensor.,"Yes, we become more aware.",FALSE,ME RESULTÓ INCÓMODO Y MUY PESADO,ME LAS LEVANTÉ ALGUNAS VECES SIN QUITÁRMELAS,AL BAÑARME,EVITAR MOVIMIENTOS BRUSCOS,AL HACER LAS VISITAS DE LA UNIVERSIDAD,UN SENSOR MÁS PEQUEÑO,SÍ SOMOS MÁS CONSCIENTES
FUSPCEU_S013,Fine. I found it amusing.,"On the first day, the bridge of my nose hurt a little, but afterwards I stopped noticing it.",I smiled if people looked at me.,"On the street, sometimes people looked at me, but after a while I stopped noticing.","Yes, people asked me what they were for and why I was wearing those glasses.","Yes, instead of glasses, the meter could be placed on a headband worn on the forehead.",No,FALSE,Bien. Me hacía gracia.,El primer día me dolía un poco el puente nasal pero luego ya no me daba cuenta.,Sonreía si me miraban.,Por la calle a veces te miraban pero luego ya no me daba cuenta.,"Sí, me preguntaban para qué y por qué llevaba esas gafas.","Sí, en vez de gafas, poner el medidor en una cinta de las de poner en la frente.",No
FUSPCEU_S014,"I have felt comfortable, keeping in mind that a week goes by quickly.",I have not had any problems or discomfort.,"At the end of the day, when we are more tired.",I did not have to make any changes in my behavior.,"Yes, in general people think we are recording.",No.,"Yes, I realized how little time I spend outdoors.",FALSE,Me he sentido cómoda teniendo en cuneta que una semana pasa rápidamente,No he tenido problemas ni moletias,Al final del día que estamos mas cansados,No he tenido que hacer cambios en mi comportamiento.,"Sí, por lo general piensan que estamos grabando.",No,"Sí, me ha dado cuenta del poco tiempo que paso al aire libre."
FUSPCEU_S015,"Generally fine, but since I'm not used to wearing glasses, I sometimes felt a bit uncomfortable.","While driving, because they slightly limited my field of vision.","In some social activities, when I took them off.","In the end, once I was used to the glasses, I barely noticed I was wearing them.","Yes, several which I have documented in the app.",A smaller sensor.,"Yes, I realized that during my weekly routine I spend little time outdoors and a lot of time sitting.",FALSE,"en general bien, pero al no estar acostumbrada a llevar gafas, alguna vez sentía algo de incomodidad.",Al conducir al limitar un poco el campo de visión.,"En alguna actividad social, en la que me lo quité.","Finalmente, al estar ya acostumbrada a las gafas ni me daba cuenta de que las llevaba.","Sí, varias que he registrado en la aplicación.",Un sensor más pequeño.,"Sí, me he dado cuenta que en la rutina semanal paso poco tiempo al aire libre y mucho sentada."
FUSPCEU_S016,"Strange, funny, but I liked it.",I would fall asleep and then wake up to complete the questionnaires.,"Never, or when going out shopping.",I went out a bit less.,"Yes, someone looked at me and asked what it was and whether I was recording.",None.,"Yes, I wanted to go out more and I realized I was always in front of screens.",FALSE,"Rara, graciosa pero me gustaba.",Me quedaba dormida y me despertaba para realizar los cuestionarios.,Nunca o saliendo de compras.,Salía un poco menos.,"Sí, alguien me ha mirado y me ha preguntado que era, si grababa.",Ninguna,"Sí, quería salir mas y me di cuenta que estaba siempre frente a pantallas."
FUSPCEU_S017,"Comfortable most of the time, but it can become tiring as I'm not used to wearing glasses.","I have experienced visual sensitivity, but it is something I usually experience. I have had headaches.","Going out with friends, moving preparations, sports, everyday activities such as doing the laundry…",I kept using them carefully and taking them off when necessary.,"Family meal, work meeting.","Overall, the design is fine. They are light and comfortable.","Yes, it made me more aware of my surroundings, enabling me to maintain better control.",FALSE,"La mayoría del tiempo cómoda, pero puede llegar a cansar, al no estar acostumbrada a llevar gafas normalmente.","He tenido sensibilidad visual, pero es algo que suelo experimentar. He tenido dolores de cabeza.","Salidas con amigos. preparativos de mudanza. deporte, actividades cotidianas: lavar la ropa...",He seguido usándolas con cuidado y retirándolas cuando era necesario.,"Comida familiar, reunión de trabajo.","En general, el diseño está bien. Son ligeras y cómodas.","Sí, me ha hecho ser más consciente del entorno y llevar más control."
FUSPCEU_S018,Very good,No,On the street,No,With my classmates,No,No,FALSE,Muy bien,No,En la calle,No,Co mis compañeros de clase,No,No
FUSPCEU_S019,"I felt strange for the first few days, but I ended up getting used to them.","On the last day, I felt discomfort in the areas where the glasses rest (ears and bridge of the nose).","When trying to exercise, so I took them off.",I didn’t have to adapt any behavior.,"Yes, in my personal environment.",I think they are well-suited to this type of experiment.,"No, I am already aware of my sleep habits and light exposure.",FALSE,Me sentí extraña los primeros días pero luego acabé habituándome.,El último día sentí molestias en las zonas de apoyo de las gafas (orejas y tabique).,Al intentar realizar ejercicio por lo que me las quitaba.,No he tenido que adaptar ningún comportamiento.,"Sí, en mi entorno personal.",Considero que están bien para este tipo de experimento.,"No, soy consciente de mis hábitos de sueño y exposición a la luz."
FUSPCEU_S020,Uncomfortable,"Blurred vision, embarrassment.",I went out less to public places.,I went out less from the office and from home.,At work and on public transport.,Make the sensor on the glasses not look like a camera or reduce its size.,I am more aware of my light exposure.,FALSE,Incómoda,"Visión borrosa, vergüenza.",Salí menos a sitios públicos.,Salí menos de la oficina y de casa.,En el trabajo y transporte pública.,Que el medidor de las gafas no parezca una cámara o disminuir tamaño.,Soy más consciente de mi exposición a la luz.
FUSPCEU_S021,Fine,No comments,While walking,No comments,Yes,No comments,No,FALSE,Bien,Sin comentarios,Caminando,Sin comentarios,Sí,Sin comentarios,No
FUSPCEU_S022,Sometimes uncomfortable because to other people it looks like you are wearing a camera.,Mostly people coming up to ask questions or staring a lot at you on the street.,When you are working at the end of the day.,By being patient.,"Yes, at work, in places such as shops.",Maybe change where the light sensor is placed on the glasses to make it more subtle.,No,FALSE,En ocasiones incómodo porque para los demás parece que llevas una cámara.,Sobre todo gente que se acerca preguntando o te miran mucho por la calle.,Cuando estás trabajando al final del día.,Teniendo paciencia.,"Sí, en el trabajo, en lugares como tiendas.",Quizá modificar donde colocar la medición de la luz en las gafas para hacerlo más sutil.,No
FUSPCEU_S023,Uncomfortable,I felt very watched/observed.,"When spending time outdoors, where there were a lot of people.",Mainly on the metro.,I tried not to wear them outdoors because people would look at me strangely.,"They should be more subtle, especially the front camera.","Yes, I realized that I get very little light and spend very little time outdoors.",FALSE,Incómoda,Me sentía muy observada,"A la hora de pasar el tiempo al aire libre, donde había mucha gente.",Principalmente en el metro.,Trataba de no usarlas al aire libre porque la gente se quedaba mirando raro.,"Que sean más sutiles, sobre todo la cámara frontal.","Sí, me doy cuenta de que recibo muy poca luz y que paso muy poco tiempo en el exterior."
FUSPCEU_S024,Quite well. No particular opinion.,People looked at me a bit strangely.,"On the metro, public transport.",I tried to look down or look elsewhere.,A guy asked me if it was a camera.,The light sensor could be a bit smaller and water-resistant.,"It helped me keep to track of my schedule, especially my sleep.",FALSE,Bastante bien. Sin opinión,La gente me miraba un poco raro,"En el metro, transporte público.","Intentar mirar hacia abajo, hacia otra parte",Un chico me preguntó si era una cámara.,El sensor de luz un poco más pequeño y resistente al agua,"Me ayudó a controlar mis horarios, especialmente del sueño"
FUSPCEU_S025,Much more comfortable than I expected. What worried me most was that someone might feel uncomfortable because they thought I was recording them.,"Sometimes it could become uncomfortable on the bridge of the nose, but only after a while.","On the subway and at the musical on Sunday, where security made me take them off.",I tried to adapt and carry on with my life. Socially it was accepted. I tried to look as though I wasn't recording.,Two people asked me about the experiment (on the subway and at the supermarket) and at the musical they made me take them off.,What it suggests to people is that the thing on top looks like a GoPro. Maybe the design could be changed.,"It has been interesting to realise how little natural light we have received, and how inactive I have been this week without noticing.",FALSE,Mucho más cómoda de lo que pensaba. Lo que má miedo daba era que alguien se molestase porque pensara que le grababa.,"A veces se podía hacer molesta en el caballete de la nariz, pero solo después de un tiempo.",En el metro y en el musical el domingo donde seguridad me las hizo retirar.,Intenté adaptarme y hacer mi vida. Socialmente se aceptó. Intenté parecer que no grababa.,Dos personas me preguntaron sobre el experimento (metro y supermercado) y en el musical me las hicieron quitar.,La idea que traslada a la gente es que parece una g-pro lo que está encima. Quizás se podría cambiar el diseño.,Ha sido interesante darme cuenta de la poca luz natural que recibimos y de lo inactiva que he estado esta semana sin darme cuenta.
